K,Mean Accuracy,Standard Deviation
1,0.62,0.04
3,0.66,0.03
5,0.68,0.02
7,0.68,0.04
9,0.69,0.04
11,0.7,0.04
13,0.69,0.03
15,0.69,0.03
17,0.7,0.03
19,0.67,0.02
