K,Mean Accuracy,Standard Deviation
1,0.69,0.03
3,0.72,0.03
5,0.72,0.02
7,0.74,0.03
9,0.75,0.03
11,0.75,0.03
13,0.77,0.03
15,0.76,0.03
17,0.76,0.03
19,0.78,0.02
