K,Mean Accuracy,Standard Deviation
1,0.69,0.04
3,0.71,0.04
5,0.73,0.01
7,0.75,0.02
9,0.75,0.02
11,0.77,0.02
13,0.77,0.03
15,0.76,0.01
17,0.76,0.03
19,0.76,0.03
