K,Mean Accuracy,Standard Deviation
1,0.68,0.04
3,0.73,0.03
5,0.73,0.03
7,0.73,0.03
9,0.75,0.03
11,0.75,0.03
13,0.75,0.03
15,0.75,0.03
17,0.76,0.02
19,0.75,0.03
