K,Mean Accuracy,Standard Deviation
1,0.7,0.03
3,0.72,0.03
5,0.73,0.02
7,0.75,0.02
9,0.77,0.02
11,0.78,0.02
13,0.77,0.03
15,0.77,0.03
17,0.77,0.03
19,0.78,0.02
