Neighbors (K),Accuracy,Precision 0,Precision 1,Precision Macro AVG,Precision Weighted AVG,Recall 0,Recall 1,Recall Macro AVG,Recall Weighted AVG,F1-Score 0,F1-Score 1,F1-Score Macro AVG,F1-Score Weighted AVG
1,0.7403,0.798,0.6364,0.7172,0.7403,0.798,0.6364,0.7172,0.7403,0.798,0.6364,0.7172,0.7403
3,0.7403,0.8105,0.6271,0.7188,0.745,0.7778,0.6727,0.7253,0.7403,0.7938,0.6491,0.7215,0.7421
5,0.7468,0.8125,0.6379,0.7252,0.7502,0.7879,0.6727,0.7303,0.7468,0.8,0.6549,0.7274,0.7482
7,0.7922,0.8384,0.7091,0.7737,0.7922,0.8384,0.7091,0.7737,0.7922,0.8384,0.7091,0.7737,0.7922
9,0.7792,0.8218,0.6981,0.7599,0.7776,0.8384,0.6727,0.7556,0.7792,0.83,0.6852,0.7576,0.7783
11,0.7727,0.8333,0.6724,0.7529,0.7759,0.8081,0.7091,0.7586,0.7727,0.8205,0.6903,0.7554,0.774
