Neighbors (K),Accuracy,Precision 0,Precision 1,Macro AVG Precision,Weighted AVG Precision,Recall 0,Recall 1,Macro AVG Recall,Weighted AVG Recall,F1-Score 0,F1-Score 1,Macro AVG F1-Score,Weighted AVG F1-Score
1,0.72,0.79,0.61,0.7,0.72,0.78,0.62,0.7,0.72,0.78,0.61,0.7,0.72
3,0.7,0.79,0.57,0.68,0.71,0.73,0.65,0.69,0.7,0.76,0.61,0.68,0.71
5,0.72,0.79,0.6,0.7,0.72,0.77,0.64,0.7,0.72,0.78,0.62,0.7,0.72
7,0.73,0.8,0.62,0.71,0.74,0.78,0.65,0.72,0.73,0.79,0.64,0.71,0.74
9,0.74,0.8,0.64,0.72,0.74,0.8,0.64,0.72,0.74,0.8,0.64,0.72,0.74
11,0.73,0.78,0.62,0.7,0.73,0.8,0.6,0.7,0.73,0.79,0.61,0.7,0.73
