Neighbors (K),Accuracy,Precision 0,Precision 1,Macro AVG Precision,Weighted AVG Precision,Recall 0,Recall 1,Macro AVG Recall,Weighted AVG Recall,F1-Score 0,F1-Score 1,Macro AVG F1-Score,Weighted AVG F1-Score
1,0.73,0.79,0.62,0.7,0.73,0.79,0.62,0.7,0.73,0.79,0.62,0.7,0.73
3,0.74,0.8,0.63,0.72,0.74,0.79,0.65,0.72,0.74,0.8,0.64,0.72,0.74
5,0.74,0.81,0.63,0.72,0.75,0.78,0.67,0.73,0.74,0.79,0.65,0.72,0.74
7,0.73,0.81,0.61,0.71,0.74,0.76,0.67,0.72,0.73,0.78,0.64,0.71,0.73
9,0.75,0.81,0.65,0.73,0.76,0.8,0.67,0.74,0.75,0.81,0.66,0.73,0.75
11,0.76,0.82,0.66,0.74,0.76,0.8,0.69,0.74,0.76,0.81,0.67,0.74,0.76
