K,Mean Accuracy,Standard Deviation
1,0.69,0.03
3,0.72,0.02
5,0.72,0.03
7,0.72,0.01
9,0.75,0.03
11,0.76,0.03
13,0.77,0.03
15,0.76,0.02
17,0.78,0.03
19,0.77,0.03
