Neighbors (K),Accuracy,Precision 0,Precision 1,Precision Macro AVG,Precision Weighted AVG,Recall 0,Recall 1,Recall Macro AVG,Recall Weighted AVG,F1-Score 0,F1-Score 1,F1-Score Macro AVG,F1-Score Weighted AVG
1,0.7273,0.7879,0.6182,0.703,0.7273,0.7879,0.6182,0.703,0.7273,0.7879,0.6182,0.703,0.7273
3,0.7403,0.8041,0.6316,0.7179,0.7425,0.7879,0.6545,0.7212,0.7403,0.7959,0.6429,0.7194,0.7413
5,0.7403,0.8105,0.6271,0.7188,0.745,0.7778,0.6727,0.7253,0.7403,0.7938,0.6491,0.7215,0.7421
7,0.7273,0.8065,0.6066,0.7065,0.7351,0.7576,0.6727,0.7152,0.7273,0.7812,0.6379,0.7096,0.7301
9,0.7532,0.8144,0.6491,0.7318,0.7554,0.798,0.6727,0.7354,0.7532,0.8061,0.6607,0.7334,0.7542
11,0.7597,0.8229,0.6552,0.739,0.763,0.798,0.6909,0.7444,0.7597,0.8103,0.6726,0.7414,0.7611
