Neighbors (K),Accuracy,Precision 0,Precision 1,Precision Macro AVG,Precision Weighted AVG,Recall 0,Recall 1,Recall Macro AVG,Recall Weighted AVG,F1-Score 0,F1-Score 1,F1-Score Macro AVG,F1-Score Weighted AVG
1,0.7403,0.8041,0.6316,0.7179,0.7425,0.7879,0.6545,0.7212,0.7403,0.7959,0.6429,0.7194,0.7413
3,0.7792,0.8351,0.6842,0.7596,0.7812,0.8182,0.7091,0.7636,0.7792,0.8265,0.6964,0.7615,0.7801
5,0.7857,0.8367,0.6964,0.7666,0.7866,0.8283,0.7091,0.7687,0.7857,0.8325,0.7027,0.7676,0.7861
7,0.8117,0.8571,0.7321,0.7946,0.8125,0.8485,0.7455,0.797,0.8117,0.8528,0.7387,0.7958,0.8121
9,0.7987,0.84,0.7222,0.7811,0.7979,0.8485,0.7091,0.7788,0.7987,0.8442,0.7156,0.7799,0.7983
11,0.7792,0.8218,0.6981,0.7599,0.7776,0.8384,0.6727,0.7556,0.7792,0.83,0.6852,0.7576,0.7783
