Neighbors (K),Accuracy,Precision 0,Precision 1,Precision Macro AVG,Precision Weighted AVG,Recall 0,Recall 1,Recall Macro AVG,Recall Weighted AVG,F1-Score 0,F1-Score 1,F1-Score Macro AVG,F1-Score Weighted AVG
1,0.7208,0.7857,0.6071,0.6964,0.7219,0.7778,0.6182,0.698,0.7208,0.7817,0.6126,0.6972,0.7213
3,0.7013,0.7912,0.5714,0.6813,0.7127,0.7273,0.6545,0.6909,0.7013,0.7579,0.6102,0.684,0.7051
5,0.7208,0.7917,0.6034,0.6976,0.7244,0.7677,0.6364,0.702,0.7208,0.7795,0.6195,0.6995,0.7223
7,0.7338,0.8021,0.6207,0.7114,0.7373,0.7778,0.6545,0.7162,0.7338,0.7897,0.6372,0.7135,0.7353
9,0.7403,0.798,0.6364,0.7172,0.7403,0.798,0.6364,0.7172,0.7403,0.798,0.6364,0.7172,0.7403
11,0.7273,0.7822,0.6226,0.7024,0.7252,0.798,0.6,0.699,0.7273,0.79,0.6111,0.7006,0.7261
